feature_set,top_n,cost_bps,fold_id,n_rebalances,gross_expectancy,net_expectancy,benchmark_expectancy,alpha_gross,alpha_net,mean_turnover,ic,hit_rate
baseline_price_only,10,15.0,35,21,0.00487548777725669,0.003880559394489776,0.0020555603487393583,0.0028199274285173317,0.0018249990457504175,0.6632855885112762,0.051526067768105546,0.7142857142857143
baseline_price_only,10,15.0,36,21,-1.629690327714526e-05,-0.001109482902763742,5.930056756288299e-06,-2.2226960033433562e-05,-0.0011154129595200297,0.7287906663243976,0.0392203322943565,0.42857142857142855
baseline_price_only,10,15.0,37,21,0.00556699266256776,0.004529738360865265,0.0015394806418399286,0.004027512020727831,0.0029902577190253367,0.6915028678016635,0.09895105471994868,0.5714285714285714
baseline_price_only,10,15.0,38,21,0.007825403099675665,0.006746036518087336,0.0047276065416109484,0.0030977965580647167,0.002018429976476388,0.7195777210588863,0.04900666738829767,0.7619047619047619
baseline_price_only,10,15.0,39,21,0.004476115983613645,0.0035097741283025238,0.002217575099835167,0.002258540883778478,0.0012921990284673562,0.6442279035407475,0.06735829268409893,0.6666666666666666
baseline_price_only,10,15.0,40,21,0.001973430187300744,0.0009579073337105077,0.001631774066755353,0.0003416561205453903,-0.0006738667330448454,0.6770152357268239,0.03216854372424897,0.5714285714285714
baseline_price_only,10,15.0,41,21,0.004066032122825816,0.0030932125505604953,0.0006575251687438164,0.003408506954082001,0.0024356873818166787,0.6485463815102143,0.0693170281001201,0.5238095238095238
baseline_price_only,10,15.0,42,21,0.003207035833402846,0.002112289104189567,0.0012677781956104296,0.0019392576377924163,0.0008445109085791371,0.7298311528088528,0.07220695846492502,0.7619047619047619
baseline_price_only,10,15.0,43,21,0.007275964162959942,0.006189448338867009,0.0034020106708218096,0.003873953492138133,0.002787437668045198,0.7243438827286232,0.05392087599095155,0.6190476190476191
baseline_price_only,10,15.0,44,21,0.0033353144155331992,0.0023275527994458885,0.002107030057191828,0.0012282843583413714,0.00022052274225406042,0.6718410773915405,0.06863151446039174,0.6190476190476191
baseline_price_only,10,15.0,45,21,0.0051065062828123025,0.004027264994739842,0.0015793289792690628,0.0035271773035432394,0.002447936015470778,0.7194941920483073,0.07885370309453495,0.6190476190476191
